name,featured_artist,Track Genre,track_id,explicit,duration_in_days,artists,cover_url
Fokuseret,No Features,Pop,5ETsHOwoJmFVYVGjQ4yMVB,FALSE,2,Omar,
Resti indifferente,No Features,Pop,6j1yxaYtWKma8IZmAkqXTx,FALSE,2,Marco Mengoni,
SOMETHING,No Features,Pop,1s2FsIDYlX6nhQ6UXF4V2w,FALSE,2,Gyakie,
Jesus In LA,No Features,Pop,5i2JGF65pHKSfMEjSMrBC3,FALSE,2,Alec Benjamin,
Everything You Say,No Features,Pop,6gsVsKcpaz6DFdevuZodf6,FALSE,2,Beatrich,
Sä,No Features,Pop,4jC0TTClMb3ExoXn7Q2qY6,FALSE,2,F,
Call My Friends,No Features,Pop,6KVxMOxlSYpC5nrvyWhYhx,FALSE,2,Shawn Mendes,
Põgenemisplaan,No Features,Pop,2cdeW9kRKB62aeMsQ4YY71,FALSE,2,Shanon,
Heart Of Glass (Live from the iHeart Festival),No Features,Pop,5i7ThJfYLAzp2DyZuFpF6j,FALSE,2,Miley Cyrus,
Hola Hola,No Features,Pop,3VC1IEz9M1txlMSx3h3tPM,FALSE,2,Kard,
Raganu Nakts,No Features,Pop,1goKool6enlNDiX7ruBmT6,FALSE,2,Tautumeitas,
Elefante,No Features,Pop,5s727A4OsVB8vG8eBo2D0s,FALSE,2,Nk,
Vadelmavene,No Features,Pop,31zvhJSp0L6D3R8FXtjhqC,FALSE,2,Kasmir,
המזרח התיכון,No Features,Pop,1aePnUSba3582jOqYzGXHH,FALSE,2,Ivri Lider,
Ратата,No Features,Pop,14YjOD4J7N1FGZMt5N4eIs,FALSE,2,Konfuz,
Wasting My Young Years,No Features,Pop,4mzsRmNFCTLcLOOuHPZwCL,FALSE,2,London Grammar,
Незабудка,No Features,Pop,53ORJG1CfDX0xo8qyhup6Q,FALSE,2,Tima Belorusskih,
Wonderful Life (Mi Oh My) - From the Angry Birds Movie Original Motion Picture Soundtrack,No Features,Pop,3s2FxrA4ZXbTR6SlH6LXh9,FALSE,2,Matoma,
Ülihea Oli,No Features,Pop,39DtdllTAL1y4W0dOYSPp0,FALSE,2,Ag,
Si Sexy,No Features,Pop,11MsFlMyncVKYscu0LQHCu,FALSE,2,Sima,
Pastillas para Dormir,No Features,Pop,0CQPWcVvEP0YqJudrQp3Pt,FALSE,2,Estopa,
My Heart Wants Me Dead,No Features,Pop,6LPI2gtOtoL35INCaUCYlQ,FALSE,2,Lisa Ajax,
Thorns,No Features,Pop,6DuE8kXIDJ3oiCibWXmgeN,FALSE,2,Faustix,
Cicha noc,No Features,Pop,0ZZIGb0H1FWqvSPm9ITUYB,FALSE,2,Kasia Kowalska,
River,No Features,Pop,04CqLjewJiSAqM210vZAmT,FALSE,2,Miley Cyrus,
Cry Cry Cry,No Features,Pop,4Kwhm5VU4huxmQtBqd1AXo,FALSE,2,Coldplay,
MUA,No Features,Pop,7oSiq8mNazqI1Q0Rdnfncl,FALSE,2,Úlfur Úlfur,
